TrackID,Line,Section,Block Number,Block Length (m),Block Grade (%),Speed Limit (Km/Hr),Infrastructure,Primary Next Track,Secondary Next Track,Primary Prev Track,Secondary Prev Track,BiDirectional,Station ID,Station Name,StationSide,Underground,First Track,Last Track,ELEVATION (M),CUMALTIVE ELEVATION (M)
1044,Red,H,44,50,0,70,UNDERGROUND,1045,,1043,,1,,,,1,0,0,0.00,-1.24
1045,Red,H,45,50,0,70,STATION;     FIRST AVE; UNDERGROUND,1046,,1044,,1,6,First Ave,L,1,0,0,0.00,-1.24
1046,Red,I,46,75,0,70,UNDERGROUND,1047,,1045,,1,,,,1,0,0,0.00,-1.24
1047,Red,I,47,75,0,70,RAILWAY CROSSING,1048,,1046,,1,,,,0,0,0,0.00,-1.24
1048,Red,I,48,75,0,70,STATION; STATION SQUARE,1049,,1047,,1,7,Station Square,L,0,0,0,0.00,-1.24
1049,Red,J,49,50,0,60,,1050,,1048,,1,,,,0,0,0,0.00,-1.24
1050,Red,J,50,50,0,60,,1051,,1049,,1,,,,0,0,0,0.00,-1.24
1051,Red,J,51,50,0,55,,1052,,1050,,1,,,,0,0,0,0.00,-1.24
1052,Red,J,52,43.2,0,55,SWITCH,1053,1066,1051,,1,,,,0,0,0,0.00,-1.24
1053,Red,J,53,50,0,55,,1054,,1052,,1,,,,0,0,0,0.00,-1.24
1054,Red,J,54,50,0,55,,1055,,1053,,1,,,,0,0,0,0.00,-1.24
1055,Red,K,55,75,0.5,55,,1056,,1054,,1,,,,0,0,0,0.38,-0.87
1056,Red,K,56,75,0.5,55,,1057,,1055,,1,,,,0,0,0,0.38,-0.49
1057,Red,K,57,75,0.5,55,,1058,,1056,,1,,,,0,0,0,0.38,-0.12
1058,Red,L,58,75,1,55,,1059,,1057,,1,,,,0,0,0,0.75,0.63
1059,Red,L,59,75,0.5,55,,1060,,1058,,1,,,,0,0,0,0.38,1.01
1060,Red,L,60,75,0,55,STATION; SOUTH HILLS JUNCTION,1061,,1059,,1,8,South Hills Junction,L,0,0,0,0.00,1.01
1061,Red,M,61,75,-0.5,55,,1062,,1060,,1,,,,0,0,0,-0.38,0.63
1062,Red,M,62,75,-1,55,,1063,,1061,,1,,,,0,0,0,-0.75,-0.12
1063,Red,M,63,75,-1,55,,1064,,1062,,1,,,,0,0,0,-0.75,-0.87
1064,Red,N,64,75,-0.5,55,,1065,,1063,,1,,,,0,0,0,-0.38,-1.24
1065,Red,N,65,75,0,55,,1066,,1064,,1,,,,0,0,0,0.00,-1.24
1066,Red,N,66,75,0,55,,1052,,1065,,1,,,,0,0,0,0.00,-1.24
1067,Red,O,67,50,0,55,UNDERGROUND,1068,,1043,,1,,,,1,0,0,0.00,-1.24
1068,Red,P,68,50,0,55,UNDERGROUND,1069,,1067,,1,,,,1,0,0,0.00,-1.24
1069,Red,P,69,50,0,55,UNDERGROUND,1070,,1068,,1,,,,1,0,0,0.00,-1.24
1070,Red,P,70,50,0,55,UNDERGROUND,1071,,1069,,1,,,,1,0,0,0.00,-1.24
1071,Red,Q,71,50,0,55,UNDERGROUND,1038,,1070,,1,,,,1,0,0,0.00,-1.24
1072,Red,R,72,50,0,55,UNDERGROUND,1073,,1032,,1,,,,1,0,0,0.00,-1.24
1073,Red,S,73,50,0,55,UNDERGROUND,1074,,1072,,1,,,,1,0,0,0.00,-1.24
1074,Red,S,74,50,0,55,UNDERGROUND,1075,,1073,,1,,,,1,0,0,0.00,-1.24
1075,Red,S,75,50,0,55,UNDERGROUND,1076,,1074,,1,,,,1,0,0,0.00,-1.24
1076,Red,T,76,50,0,55,UNDERGROUND,1027,,1075,,1,,,,1,0,0,0.00,-1.24
, ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,
